,Title,Word,n,nwords
343,Моби Дик,автора,1,4887
344,Моби Дик,которого,2,4887
345,Моби Дик,давно,2,4887
346,Моби Дик,забыли,1,4887
347,Моби Дик,планете,2,4887
348,Моби Дик,читать,1,4887
349,Моби Дик,вспоминать,2,4887
350,Моби Дик,о,12,4887
351,Моби Дик,далеком,1,4887
352,Моби Дик,прошлом,2,4887
353,Моби Дик,грустя,1,4887
354,Моби Дик,радуясь,1,4887
355,Моби Дик,никак,2,4887
356,Моби Дик,грусть,1,4887
357,Моби Дик,радость,1,4887
358,Моби Дик,приносили,2,4887
359,Моби Дик,эти,2,4887
360,Моби Дик,часы,1,4887
361,Моби Дик,одиночества,1,4887
362,Моби Дик,они,16,4887
363,Моби Дик,счастье,1,4887
364,Моби Дик,многие,2,4887
365,Моби Дик,уезжали,1,4887
366,Моби Дик,улетал,1,4887
367,Моби Дик,среднюю,1,4887
368,Моби Дик,азию,1,4887
369,Моби Дик,женой,1,4887
370,Моби Дик,веселый,2,4887
371,Моби Дик,толя,1,4887
372,Моби Дик,зайцев,1,4887
373,Моби Дик,недели,1,4887
374,Моби Дик,пропадал,1,4887
375,Моби Дик,экспедициях,1,4887
376,Моби Дик,жадный,1,4887
377,Моби Дик,дела,1,4887
378,Моби Дик,эдик,1,4887
379,Моби Дик,свирский,1,4887
380,Моби Дик,отправлялся,1,4887
381,Моби Дик,дальние,1,4887
382,Моби Дик,рейсы,1,4887
383,Моби Дик,серьезный,2,4887
384,Моби Дик,насмешник,1,4887
385,Моби Дик,макс,11,4887
386,Моби Дик,кто,1,4887
387,Моби Дик,оставался,1,4887
388,Моби Дик,базе,5,4887
389,Моби Дик,одни,1,4887
390,Моби Дик,вечерам,1,4887
391,Моби Дик,васильево,1,4887
392,Моби Дик,там,5,4887
393,Моби Дик,танцевали,1,4887
394,Моби Дик,веселились,1,4887
395,Моби Дик,утра,1,4887
396,Моби Дик,другие,2,4887
397,Моби Дик,сидели,1,4887
398,Моби Дик,своим,1,4887
399,Моби Дик,квартирам,1,4887
400,Моби Дик,обрабатывали,1,4887
401,Моби Дик,материалы,1,4887
402,Моби Дик,полученные,1,4887
403,Моби Дик,исследовательской,1,4887
404,Моби Дик,работой,1,4887
405,Моби Дик,сергея,1,4887
