,author,Word,n,nwords
320,Беляев,настоящие,8,98403
321,Беляев,замки,3,98403
322,Беляев,дворцы,1,98403
323,Беляев,питч,50,98403
324,Беляев,владелец,2,98403
325,Беляев,киногородка,6,98403
326,Беляев,платил,1,98403
327,Беляев,архитектору,1,98403
328,Беляев,гораздо,23,98403
329,Беляев,чем,140,98403
330,Беляев,могли,35,98403
331,Беляев,уплатить,2,98403
332,Беляев,ему,152,98403
333,Беляев,титулованные,1,98403
334,Беляев,особы,1,98403
335,Беляев,за,446,98403
336,Беляев,постройку,1,98403
337,Беляев,настоящих,2,98403
338,Беляев,замков,1,98403
339,Беляев,архитектор,1,98403
340,Беляев,предпочитал,1,98403
341,Беляев,получая,5,98403
342,Беляев,них,69,98403
343,Беляев,доходы,3,98403
344,Беляев,средневековом,1,98403
345,Беляев,замке,2,98403
346,Беляев,вернее,10,98403
347,Беляев,углу,4,98403
348,Беляев,зала,1,98403
349,Беляев,стенами,2,98403
350,Беляев,шла,15,98403
351,Беляев,суета,3,98403
352,Беляев,рабочие,20,98403
353,Беляев,маляры,1,98403
354,Беляев,художники,1,98403
355,Беляев,плотники,2,98403
356,Беляев,под,131,98403
357,Беляев,руководством,1,98403
358,Беляев,самого,31,98403
359,Беляев,заканчивали,1,98403
360,Беляев,установку,1,98403
361,Беляев,декораций,3,98403
362,Беляев,необходимая,1,98403
363,Беляев,мебель,2,98403
364,Беляев,настоящая,3,98403
365,Беляев,бутафорская,1,98403
366,Беляев,уже,231,98403
367,Беляев,инженер-электрик,2,98403
368,Беляев,помощник,4,98403
369,Беляев,возились,1,98403
370,Беляев,юпитерами,1,98403
371,Беляев,огромными,5,98403
372,Беляев,лампами,1,98403
373,Беляев,во,103,98403
374,Беляев,много,56,98403
375,Беляев,тысяч,29,98403
376,Беляев,свечей,3,98403
377,Беляев,каждая,2,98403
378,Беляев,кинофильм,1,98403
379,Беляев,рождается,1,98403
380,Беляев,немудрено,2,98403
381,Беляев,составляет,4,98403
382,Беляев,главную,2,98403
383,Беляев,заботу,1,98403
384,Беляев,постановщиков,1,98403
385,Беляев,кr,2,98403
386,Беляев,позволить,2,98403
387,Беляев,себе,63,98403
388,Беляев,такую,16,98403
389,Беляев,роскошь,1,98403
390,Беляев,устроить,10,98403
391,Беляев,павильон,2,98403
392,Беляев,землей,2,98403
393,Беляев,чтобы,207,98403
394,Беляев,зависеть,1,98403
395,Беляев,капризов,1,98403
396,Беляев,дневного,1,98403
397,Беляев,освещения,2,98403
398,Беляев,из-за,27,98403
399,Беляев,выглядывали,2,98403
400,Беляев,статисты,4,98403
401,Беляев,статистки,2,98403
402,Беляев,наряженные,1,98403
403,Беляев,средневековые,1,98403
404,Беляев,костюмы,22,98403
405,Беляев,загримированные,1,98403
406,Беляев,они,185,98403
407,Беляев,любопытством,4,98403
408,Беляев,почтением,1,98403
409,Беляев,то,244,98403
410,Беляев,время,119,98403
411,Беляев,невольной,1,98403
412,Беляев,улыбкой,9,98403
413,Беляев,смотрели,8,98403
414,Беляев,стоящего,1,98403
415,Беляев,солнечном,1,98403
416,Беляев,луче,2,98403
417,Беляев,залы,1,98403
418,Беляев,сам,65,98403
419,Беляев,антонио,20,98403
420,Беляев,престо,401,98403
421,Беляев,боже,3,98403
422,Беляев,какой,22,98403
423,Беляев,смешной,1,98403
424,Беляев,жизни,34,98403
425,Беляев,может,146,98403
426,Беляев,постоять,1,98403
427,Беляев,спокойно,22,98403
428,Беляев,ни,110,98403
429,Беляев,одной,23,98403
